SEL2	411 VAR CTRL			Date: 06/01	/2015   Tim	e: 20:11:56							
BIG	BLUE 161KV												
													
#	DATE	TIME	VA_MAG	VB_MAG	VC_MAG	MV10	SC01	SC02	P	Q	PF	MV32	MV27
1384	5/28/2015	0:55:01	93979.93	93931.406	94197.32	1800	0	0	46.448	3341.967	0.014	0	0
1383	5/28/2015	1:00:01	93949.156	93977.734	94342.602	1800	0	0	-237.811	3378.758	-0.07	0	0
1382	5/28/2015	1:05:01	93931.859	93943.859	94303.359	1800	0	0	-60.374	3239.103	-0.019	0	0
1381	5/28/2015	1:10:01	94312.648	94406.344	94269.367	1800	0	0	-339.272	3095.548	-0.109	0	0
1380	5/28/2015	1:15:01	94174.031	94518.516	94337.594	1800	0	0	-301.655	3142.759	-0.096	0	0
1379	5/28/2015	1:20:02	94253.586	94518.648	94330.719	1800	0	0	-98.89	3483.486	-0.028	0	0
1378	5/28/2015	1:25:02	94245.812	94552.242	94302.367	1800	0	0	-12.97	3614.85	-0.004	0	0
1377	5/28/2015	1:30:01	94210.523	94352.812	94636.047	1800	0	0	-245.431	3634.836	-0.067	0	0
1376	5/28/2015	1:35:01	94185.047	94399.375	94262.93	1800	0	0	-407.995	3654.644	-0.111	0	0
1375	5/28/2015	1:40:02	94460.375	94400.141	94462.602	1800	0	0	-291.813	3618.856	-0.08	0	0
1374	5/28/2015	1:45:01	94246.156	94489.289	94740.594	1800	0	0	-89.429	3403.343	-0.026	0	0
1373	5/28/2015	1:50:01	94409.914	94424.781	94779.484	1800	0	0	37.4	3377.278	0.011	0	0
1372	5/28/2015	1:55:01	94438.758	94610.367	94910.266	1800	0	0	-154.306	3492.252	-0.044	0	0
1371	5/28/2015	2:00:02	94379.453	94815.539	94836.508	1800	0	0	268.527	4032.948	0.066	0	0
1370	5/28/2015	2:05:02	94647.055	94810.922	94655.203	1800	0	0	526.397	3940.762	0.132	0	0
1369	5/28/2015	2:10:02	94827.68	94724.398	94810.594	1800	0	0	1189.236	4566.376	0.252	0	0
1368	5/28/2015	2:15:02	94471.477	94794.227	94969.937	1800	0	0	1425.087	5196.337	0.264	0	0
1367	5/28/2015	2:20:01	94704.555	94618.922	94942.742	1800	0	0	2069.812	5842.252	0.334	0	0
1366	5/28/2015	2:25:01	94563.094	94937.523	94786.328	1800	0	0	2437.952	6798.741	0.338	0	0
1365	5/28/2015	2:30:02	94618.281	94877.086	94664.664	1800	0	0	2635.509	6915.382	0.356	0	0
1364	5/28/2015	2:35:01	94711.625	94603.594	94760.062	1800	0	0	2729.956	6966.735	0.365	0	0
1363	5/28/2015	2:40:01	94454.367	94787.727	95031.437	1800	0	0	2865.869	7277.797	0.366	0	0
1362	5/28/2015	2:45:02	94396.727	94862.32	94870.883	1800	0	0	2928.635	6809.279	0.395	0	0
1361	5/28/2015	2:50:01	94489.023	94412.031	94716.805	1800	0	0	3015.765	7354.775	0.379	0	0
1360	5/28/2015	2:55:01	94340.227	94678.969	94450.219	1800	0	0	2938.251	7327.487	0.372	0	0
1359	5/28/2015	3:00:02	94298.68	94725.039	94506.82	300	0	6	3196.524	7660.965	0.385	0	0
1358	5/28/2015	3:05:01	94524.391	94553.039	94887.594	-4200	0	24	4125.691	8398.899	0.441	0	0
